Restaurant,Item,Category,Calories,Protein (g),Total Fat (g),Sodium (mg),Sugar (mg),Healthiness Score
Starbucks,Brown Sugar Walnut Tart,petite,190.00 ,2.00 ,12.00 ,10.00 ,0.00 ,49.50 
Starbucks,Cherry Pie,petite,170.00 ,2.00 ,7.00 ,10.00 ,0.00 ,56.30 
Starbucks,Chocolate Creme Whoopie Pie,petite,190.00 ,0.00 ,11.00 ,10.00 ,0.00 ,48.60 
Starbucks,Chocolate Hazelnut Tart,petite,180.00 ,2.00 ,10.00 ,10.00 ,0.00 ,50.50 
Starbucks,Raspberry Truffle Cake Pop,petite,160.00 ,2.00 ,8.00 ,10.00 ,0.00 ,54.70 
Starbucks,Red Velvet Whoopie Pie,petite,190.00 ,0.00 ,11.00 ,10.00 ,0.00 ,49.80 
Starbucks,Tiramisu Cake Pop,petite,170.00 ,0.00 ,9.00 ,10.00 ,0.00 ,52.00 
Starbucks,Bacon & Gouda Artisan Breakfast Sandwich,hot breakfast,350.00 ,17.00 ,18.00 ,10.00 ,0.00 ,50.75 
Starbucks,Chicken Sausage Breakfast Wrap,hot breakfast,300.00 ,14.00 ,10.00 ,10.00 ,0.00 ,58.08 
Starbucks,Ham & Cheddar Artisan Breakfast Sandwich,hot breakfast,350.00 ,20.00 ,16.00 ,10.00 ,0.00 ,52.40 
Starbucks,Sausage & Cheddar Classic Breakfast Sandwich,hot breakfast,500.00 ,19.00 ,28.00 ,10.00 ,0.00 ,44.25 
Starbucks,Spinach & Feta Breakfast Wrap,hot breakfast,290.00 ,19.00 ,10.00 ,10.00 ,0.00 ,64.10 
Starbucks,Starbucks Perfect Oatmeal,hot breakfast,140.00 ,5.00 ,2.50 ,10.00 ,0.00 ,75.65 
Starbucks,Turkey Bacon & White Cheddar Classic Breakfast Sandwich,hot breakfast,320.00 ,18.00 ,7.00 ,10.00 ,0.00 ,62.33 
Starbucks,Veggie & Monterey Jack Artisan Breakfast Sandwich,hot breakfast,350.00 ,17.00 ,18.00 ,10.00 ,0.00 ,50.75 
Starbucks,Deluxe Fruit Blend,salad,80.00 ,0.00 ,0.00 ,10.00 ,0.00 ,78.55 
Starbucks,Chicken Santa Fe Panini,sandwich,400.00 ,26.00 ,11.00 ,10.00 ,0.00 ,52.75 
Starbucks,Egg Salad Sandwich,sandwich,460.00 ,22.00 ,27.00 ,10.00 ,0.00 ,55.98 
Starbucks,Ham & Swiss Panini,sandwich,360.00 ,28.00 ,9.00 ,10.00 ,0.00 ,56.35 
Starbucks,Roasted Tomato & Mozzarella Panini,sandwich,390.00 ,15.00 ,18.00 ,10.00 ,0.00 ,51.28 
Starbucks,Roasted Vegetable Panini,sandwich,350.00 ,13.00 ,12.00 ,10.00 ,0.00 ,53.25 
Starbucks,Tarragon Chicken Salad Sandwich,sandwich,420.00 ,32.00 ,13.00 ,10.00 ,0.00 ,59.45 
Starbucks,Turkey & Swiss Sandwich,sandwich,390.00 ,34.00 ,13.00 ,10.00 ,0.00 ,53.15 
Starbucks,Greek Yogurt Honey Parfait,parfait,300.00 ,8.00 ,12.00 ,10.00 ,0.00 ,44.00 
Starbucks,Peach Raspberry Yogurt Parfait,parfait,300.00 ,10.00 ,4.00 ,10.00 ,0.00 ,63.13 
Starbucks,Strawberry & Blueberry Yogurt Parfait,parfait,300.00 ,7.00 ,3.50 ,10.00 ,0.00 ,61.88 
